Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Low Quality (1 Yes 0 No)
SRR9963194,AMPLICON,602,41663216,PRJNA559967,SAMN12565100,Metagenome or environmental,22630105,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX6710977,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P39xs,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963195,AMPLICON,602,23201682,PRJNA559967,SAMN12565100,Metagenome or environmental,12498978,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX6710976,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P39ds,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963196,AMPLICON,602,38443720,PRJNA559967,SAMN12565100,Metagenome or environmental,20928946,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX6710975,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P39xp,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963197,AMPLICON,602,23647764,PRJNA559967,SAMN12565100,Metagenome or environmental,12962151,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX6710974,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P39dp,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963198,AMPLICON,602,49202062,PRJNA559967,SAMN12565100,Metagenome or environmental,28019191,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX6710973,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P40k,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963199,AMPLICON,602,36941128,PRJNA559967,SAMN12565100,Metagenome or environmental,20423706,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX6710972,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P40g,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963200,AMPLICON,602,24809624,PRJNA559967,SAMN12565100,Metagenome or environmental,13853509,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX6710971,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P40b,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963201,AMPLICON,602,18243008,PRJNA559967,SAMN12565100,Metagenome or environmental,10067556,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6710970,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P39y,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963202,AMPLICON,602,29271648,PRJNA559967,SAMN12565100,Metagenome or environmental,16950740,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX6710969,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,S31b,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963203,AMPLICON,602,24336452,PRJNA559967,SAMN12565100,Metagenome or environmental,13845909,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6710968,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P37y,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963204,AMPLICON,602,35713650,PRJNA559967,SAMN12565100,Metagenome or environmental,20291536,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6710967,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P37s,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963205,AMPLICON,602,24279262,PRJNA559967,SAMN12565100,Metagenome or environmental,13101336,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6710966,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P37p,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963206,AMPLICON,602,29341480,PRJNA559967,SAMN12565100,Metagenome or environmental,15787240,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX6710965,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P37m,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963207,AMPLICON,602,41757730,PRJNA559967,SAMN12565100,Metagenome or environmental,23682445,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6710964,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P37k,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963208,AMPLICON,602,21933268,PRJNA559967,SAMN12565100,Metagenome or environmental,12666559,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6710963,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P37g,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963209,AMPLICON,602,25079922,PRJNA559967,SAMN12565100,Metagenome or environmental,14554682,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX6710962,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P37b,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963210,AMPLICON,602,28908040,PRJNA559967,SAMN12565100,Metagenome or environmental,16439881,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX6710961,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,S30y,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963211,AMPLICON,602,19561990,PRJNA559967,SAMN12565100,Metagenome or environmental,11130583,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6710960,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,S30s,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963212,AMPLICON,602,36475180,PRJNA559967,SAMN12565100,Metagenome or environmental,19792891,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX6710959,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P41y,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963213,AMPLICON,602,33191270,PRJNA559967,SAMN12565100,Metagenome or environmental,18570785,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6710958,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P36k,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963214,AMPLICON,602,29013992,PRJNA559967,SAMN12565100,Metagenome or environmental,16117922,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6710957,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P10m,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963215,AMPLICON,602,22036812,PRJNA559967,SAMN12565100,Metagenome or environmental,12524304,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6710956,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P10p,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963216,AMPLICON,602,32655490,PRJNA559967,SAMN12565100,Metagenome or environmental,18667379,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX6710955,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P10g,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
SRR9963217,AMPLICON,602,28675066,PRJNA559967,SAMN12565100,Metagenome or environmental,15909884,CHINESE HUMAN GENOME CENTER AT SHANGHAI,2018-03,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6710954,China,Asia,China:Kunming,Homo sapiens,Illumina MiSeq,25 N 102 E,P10k,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-08-14T00:00:00Z,seven site bacteria,SRP218271,
