Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,Sample Name,Source_material_ID,SRA Study
SRR10298927,AMPLICON,502,114792842,PRJNA577959,SAMN13042799,Metagenome or environmental,72624397,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7011930,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,maternal blood,missing,52Mat-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,52MAT-biological replicate 1,52Mat-Bld,maternal blood,SRP226041
SRR10298928,AMPLICON,502,101701686,PRJNA577959,SAMN13042798,Metagenome or environmental,64452650,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7011929,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,cord blood,missing,52Crd-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,52CRD-biological replicate 1,52Crd-Bld,cord blood,SRP226041
SRR10298929,AMPLICON,502,224271010,PRJNA577959,SAMN13042797,Metagenome or environmental,143371558,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7011928,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,vagina-rectal swabs,missing,51VRS_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,51VRS-biological replicate 1,51VRS,vagina-rectal swabs,SRP226041
SRR10298930,AMPLICON,502,45266846,PRJNA577959,SAMN13042796,Metagenome or environmental,29020966,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7011927,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,51Plac2_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,51PLAC-biological replicate 2,51Plac2,placental sample,SRP226041
SRR10298931,AMPLICON,502,48098628,PRJNA577959,SAMN13042795,Metagenome or environmental,33089047,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7011926,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,51Plac1_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,51PLAC-biological replicate 1,51Plac1,placental sample,SRP226041
SRR10298932,AMPLICON,502,86497612,PRJNA577959,SAMN13042794,Metagenome or environmental,55591288,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX7011925,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,maternal blood,missing,51Mat-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,51MAT-biological replicate 1,51Mat-Bld,maternal blood,SRP226041
SRR10298933,AMPLICON,502,202604690,PRJNA577959,SAMN13042793,Metagenome or environmental,130659172,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX7011924,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,cord blood,missing,51Crd-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,51CRD-biological replicate 1,51Crd-Bld,cord blood,SRP226041
SRR10298934,AMPLICON,502,150443878,PRJNA577959,SAMN13042792,Metagenome or environmental,90515290,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7011923,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,vagina-rectal swabs,missing,50VRS_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,50VRS-biological replicate 1,50VRS,vagina-rectal swabs,SRP226041
SRR10298935,AMPLICON,502,142824522,PRJNA577959,SAMN13042791,Metagenome or environmental,92875460,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX7011922,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,50Plac2_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,50PLAC-biological replicate 2,50Plac2,placental sample,SRP226041
SRR10298936,AMPLICON,502,47897828,PRJNA577959,SAMN13042790,Metagenome or environmental,31035412,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7011921,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,50Plac1_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,50PLAC-biological replicate 1,50Plac1,placental sample,SRP226041
SRR10298937,AMPLICON,502,76497772,PRJNA577959,SAMN13042736,Metagenome or environmental,49672009,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7011920,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,maternal blood,missing,24Mat-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,24MAT-biological replicate 1,24Mat-Bld,maternal blood,SRP226041
SRR10298938,AMPLICON,502,119310340,PRJNA577959,SAMN13042789,Metagenome or environmental,77393243,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7011919,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,maternal blood,missing,50Mat-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,50MAT-biological replicate 1,50Mat-Bld,maternal blood,SRP226041
SRR10298939,AMPLICON,502,28354466,PRJNA577959,SAMN13042788,Metagenome or environmental,18055962,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7011918,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,cord blood,missing,50Crd-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,50CRD-biological replicate 1,50Crd-Bld,cord blood,SRP226041
SRR10298940,AMPLICON,502,75666460,PRJNA577959,SAMN13042787,Metagenome or environmental,46432633,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX7011917,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,vagina-rectal swabs,missing,49VRS_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,49VRS-biological replicate 1,49VRS,vagina-rectal swabs,SRP226041
SRR10298941,AMPLICON,502,22487090,PRJNA577959,SAMN13042786,Metagenome or environmental,14392466,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7011916,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,49Plac2_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,49PLAC-biological replicate 2,49Plac2,placental sample,SRP226041
SRR10298942,AMPLICON,502,201156922,PRJNA577959,SAMN13042785,Metagenome or environmental,129567969,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7011915,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,49Plac1_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,49PLAC-biological replicate 1,49Plac1,placental sample,SRP226041
SRR10298943,AMPLICON,502,90544234,PRJNA577959,SAMN13042784,Metagenome or environmental,58516971,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7011914,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,maternal blood,missing,49Mat-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,49MAT-biological replicate 1,49Mat-Bld,maternal blood,SRP226041
SRR10298944,AMPLICON,502,90172754,PRJNA577959,SAMN13042783,Metagenome or environmental,55591981,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7011913,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,cord blood,missing,49Crd-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,49CRD-biological replicate 1,49Crd-Bld,cord blood,SRP226041
SRR10298945,AMPLICON,502,31452308,PRJNA577959,SAMN13042782,Metagenome or environmental,20202864,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7011912,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,vagina-rectal swabs,missing,44VRS_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,44VRS-biological replicate 1,44VRS,vagina-rectal swabs,SRP226041
SRR10298946,AMPLICON,502,56628612,PRJNA577959,SAMN13042781,Metagenome or environmental,36093581,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7011911,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,44Plac2_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,44PLAC-biological replicate 2,44Plac2,placental sample,SRP226041
SRR10298947,AMPLICON,502,64195760,PRJNA577959,SAMN13042780,Metagenome or environmental,40790228,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX7011910,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,placental sample,missing,44Plac1_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,44PLAC-biological replicate 1,44Plac1,placental sample,SRP226041
SRR10298948,AMPLICON,502,72278462,PRJNA577959,SAMN13042735,Metagenome or environmental,47226241,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7011909,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,cord blood,missing,24Crd-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,24CRD-biological replicate 1,24Crd-Bld,cord blood,SRP226041
SRR10298949,AMPLICON,502,115198960,PRJNA577959,SAMN13042779,Metagenome or environmental,74741839,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7011908,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,maternal blood,missing,44Mat-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,44MAT-biological replicate 1,44Mat-Bld,maternal blood,SRP226041
SRR10298950,AMPLICON,502,167203148,PRJNA577959,SAMN13042778,Metagenome or environmental,107498236,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7011907,USA,North America,USA: Michigan,Homo sapiens,Illumina MiSeq,cord blood,missing,44Crd-Bld_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,44CRD-biological replicate 1,44Crd-Bld,cord blood,SRP226041
SRR10298951,AMPLICON,500,5000,PRJNA577959,SAMN13043208,Metagenome or environmental,82472,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7011906,USA,North America,USA: Michigan,not applicable,Illumina MiSeq,not applicable,missing,WASeq4_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-19T00:00:00Z,BK109-biological replicate 1,WASeq4,not applicable,SRP226041
SRR10298952,AMPLICON,500,13000,PRJNA577959,SAMN13043207,Metagenome or environmental,86904,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7011905,USA,North America,USA: Michigan,not applicable,Illumina MiSeq,not applicable,missing,WASeq3_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,BK108-biological replicate 1,WASeq3,not applicable,SRP226041
SRR10298953,AMPLICON,500,66500,PRJNA577959,SAMN13042979,Metagenome or environmental,130662,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7011904,USA,North America,USA: Michigan,not applicable,Illumina MiSeq,not applicable,missing,AVESeq_C_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,BK10-biological replicate 1,AVESeq_C,not applicable,SRP226041
SRR10298954,AMPLICON,500,94500,PRJNA577959,SAMN13042978,Metagenome or environmental,153990,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7011903,USA,North America,USA: Michigan,not applicable,Illumina MiSeq,not applicable,missing,AVESeq_A_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,BK9-biological replicate 1,AVESeq_A,not applicable,SRP226041
SRR10298955,AMPLICON,500,111000,PRJNA577959,SAMN13042977,Metagenome or environmental,161572,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX7011902,USA,North America,USA: Michigan,not applicable,Illumina MiSeq,not applicable,missing,AVEKitE_C_C4_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,BK8-biological replicate 1,AVEKitE_C_C4,not applicable,SRP226041
SRR10298956,AMPLICON,500,68500,PRJNA577959,SAMN13042976,Metagenome or environmental,130667,MICHIGAN STATE UNIVERSITY,missing,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7011901,USA,North America,USA: Michigan,not applicable,Illumina MiSeq,not applicable,missing,AVEKitE_C_A2_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,BK7-biological replicate 1,AVEKitE_C_A2,not applicable,SRP226041
SRR10298957,AMPLICON,500,75500,PRJNA577959,SAMN13042975,Metagenome or environmental,138713,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX7011900,USA,North America,USA: Michigan,not applicable,Illumina MiSeq,not applicable,missing,AVEKitD-B_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,BK6-biological replicate 1,AVEKitD-B,not applicable,SRP226041
SRR10298958,AMPLICON,500,46500,PRJNA577959,SAMN13042974,Metagenome or environmental,117704,MICHIGAN STATE UNIVERSITY,missing,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX7011899,USA,North America,USA: Michigan,not applicable,Illumina MiSeq,not applicable,missing,AVEKitD-A_GDM_Placental_microbiome,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-10-17T00:00:00Z,BK5-biological replicate 1,AVEKitD-A,not applicable,SRP226041
