Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Identifier
SRR5962358,AMPLICON,501,29282008,PRJNA397876,SAMN07527070,Metagenome or environmental,17010517,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120469,USA,North America,USA: Detroit,laboratory,Illumina MiSeq,37.36666 N 80.53333 W,4Room1,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,4Room1,SRP116027,
SRR5962359,AMPLICON,501,25225013,PRJNA397876,SAMN07527069,Metagenome or environmental,14222000,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120468,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,4Hood5,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,4Hood5,SRP116027,
SRR5962360,AMPLICON,501,40811982,PRJNA397876,SAMN07527065,Metagenome or environmental,24154842,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120466,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,4Hood1,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,4Hood1,SRP116027,
SRR5962361,AMPLICON,501,37839961,PRJNA397876,SAMN07527068,Metagenome or environmental,20647058,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120465,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,4Hood4,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,4Hood4,SRP116027,
SRR5962362,AMPLICON,501,34233631,PRJNA397876,SAMN07527067,Metagenome or environmental,20807318,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120464,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,4Hood3,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,4Hood3,SRP116027,
SRR5962363,AMPLICON,501,28219020,PRJNA397876,SAMN07527066,Metagenome or environmental,16462201,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120467,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,4Hood2,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,4Hood2,SRP116027,
SRR5962364,AMPLICON,501,67076563,PRJNA397876,SAMN07527062,Metagenome or environmental,38710003,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120463,USA,North America,USA: Detroit,laboratory,Illumina MiSeq,37.36666 N 80.53333 W,3Room3,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,3Room3,SRP116027,
SRR5962365,AMPLICON,501,36676866,PRJNA397876,SAMN07527061,Metagenome or environmental,22607083,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120462,USA,North America,USA: Detroit,laboratory,Illumina MiSeq,37.36666 N 80.53333 W,3Room2,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,3Room2,SRP116027,
SRR5962366,AMPLICON,501,51593931,PRJNA397876,SAMN07527064,Metagenome or environmental,30497468,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120461,USA,North America,USA: Detroit,laboratory,Illumina MiSeq,37.36666 N 80.53333 W,3Room5,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,3Room5,SRP116027,
SRR5962367,AMPLICON,501,18359058,PRJNA397876,SAMN07527063,Metagenome or environmental,10919337,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120460,USA,North America,USA: Detroit,laboratory,Illumina MiSeq,37.36666 N 80.53333 W,3Room4,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,3Room4,SRP116027,
SRR5962368,AMPLICON,500,28943291,PRJNA397876,SAMN07527083,Metagenome or environmental,16518812,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120458,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,7Hood3,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,7Hood3,SRP116027,
SRR5962369,AMPLICON,501,46716162,PRJNA397876,SAMN07527082,Metagenome or environmental,26523654,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120457,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,7Hood2,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,7Hood2,SRP116027,
SRR5962370,AMPLICON,501,34156080,PRJNA397876,SAMN07527081,Metagenome or environmental,19982466,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120456,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,7Hood1,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,7Hood1,SRP116027,
SRR5962371,AMPLICON,501,23126382,PRJNA397876,SAMN07527084,Metagenome or environmental,13455947,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120459,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,7Hood4,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,7Hood4,SRP116027,
SRR5962372,AMPLICON,501,47349157,PRJNA397876,SAMN07527088,Metagenome or environmental,27732702,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120455,USA,North America,USA: Detroit,laboratory,Illumina MiSeq,37.36666 N 80.53333 W,7Room2,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,7Room2,SRP116027,
SRR5962373,AMPLICON,501,25418263,PRJNA397876,SAMN07527087,Metagenome or environmental,15216474,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120454,USA,North America,USA: Detroit,laboratory,Illumina MiSeq,37.36666 N 80.53333 W,7Room1,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,7Room1,SRP116027,
SRR5962374,AMPLICON,501,9141073,PRJNA397876,SAMN07527086,Metagenome or environmental,4945475,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120453,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,7Hood6,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,7Hood6,SRP116027,
SRR5962375,AMPLICON,501,30166805,PRJNA397876,SAMN07527085,Metagenome or environmental,16673242,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120452,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,7Hood5,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,7Hood5,SRP116027,
SRR5962376,AMPLICON,501,36890422,PRJNA397876,SAMN07527090,Metagenome or environmental,20003524,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120451,USA,North America,USA: Detroit,laboratory,Illumina MiSeq,37.36666 N 80.53333 W,7Room4,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,7Room4,SRP116027,
SRR5962377,AMPLICON,501,24396547,PRJNA397876,SAMN07527089,Metagenome or environmental,15377084,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120450,USA,North America,USA: Detroit,laboratory,Illumina MiSeq,37.36666 N 80.53333 W,7Room3,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,7Room3,SRP116027,
SRR5962378,AMPLICON,501,36028580,PRJNA397876,SAMN07527059,Metagenome or environmental,21291726,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120449,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,3Hood5,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,3Hood5,SRP116027,
SRR5962379,AMPLICON,500,71634,PRJNA397876,SAMN07527060,Metagenome or environmental,124880,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120448,USA,North America,USA: Detroit,laboratory,Illumina MiSeq,37.36666 N 80.53333 W,3Room1,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,3Room1,SRP116027,
SRR5962380,AMPLICON,501,25001729,PRJNA397876,SAMN07527057,Metagenome or environmental,15407404,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120447,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,3Hood3,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,3Hood3,SRP116027,
SRR5962381,AMPLICON,501,39338521,PRJNA397876,SAMN07527058,Metagenome or environmental,22809708,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120446,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,3Hood4,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,3Hood4,SRP116027,
SRR5962382,AMPLICON,501,44878181,PRJNA397876,SAMN07527055,Metagenome or environmental,24384116,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120445,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,3Hood1,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,3Hood1,SRP116027,
SRR5962383,AMPLICON,501,47606837,PRJNA397876,SAMN07527056,Metagenome or environmental,26972357,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120444,USA,North America,USA: Detroit,cabinet,Illumina MiSeq,37.36666 N 80.53333 W,3Hood2,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,3Hood2,SRP116027,
SRR5962384,AMPLICON,501,35105004,PRJNA397876,SAMN07527053,Metagenome or environmental,19198620,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120443,USA,North America,USA: Detroit,operating room,Illumina MiSeq,37.36666 N 80.53333 W,OR3A_1,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,OR3A_1,SRP116027,
SRR5962385,AMPLICON,500,35824639,PRJNA397876,SAMN07527054,Metagenome or environmental,21371371,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120442,USA,North America,USA: Detroit,operating room,Illumina MiSeq,37.36666 N 80.53333 W,OR3B_2,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,OR3B_2,SRP116027,
SRR5962386,AMPLICON,501,41221079,PRJNA397876,SAMN07527051,Metagenome or environmental,23460797,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120441,USA,North America,USA: Detroit,operating room,Illumina MiSeq,37.36666 N 80.53333 W,OR2A_1,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,OR2A_1,SRP116027,
SRR5962387,AMPLICON,501,24743009,PRJNA397876,SAMN07527052,Metagenome or environmental,14952647,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120440,USA,North America,USA: Detroit,operating room,Illumina MiSeq,37.36666 N 80.53333 W,OR2B_2,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,OR2B_2,SRP116027,
SRR5962388,AMPLICON,501,36263708,PRJNA397876,SAMN07527079,Metagenome or environmental,19898010,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120439,USA,North America,USA: Detroit,reagents,Illumina MiSeq,37.36666 N 80.53333 W,Kit5,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,Kit5,SRP116027,
SRR5962389,AMPLICON,501,42816616,PRJNA397876,SAMN07527080,Metagenome or environmental,26066212,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120438,USA,North America,USA: Detroit,reagents,Illumina MiSeq,37.36666 N 80.53333 W,Kit6,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,Kit6,SRP116027,
SRR5962390,AMPLICON,501,23797944,PRJNA397876,SAMN07527075,Metagenome or environmental,14776736,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120437,USA,North America,USA: Detroit,reagents,Illumina MiSeq,37.36666 N 80.53333 W,Kit1,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,Kit1,SRP116027,
SRR5962391,AMPLICON,501,35386587,PRJNA397876,SAMN07527076,Metagenome or environmental,20181287,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120436,USA,North America,USA: Detroit,reagents,Illumina MiSeq,37.36666 N 80.53333 W,Kit2,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,Kit2,SRP116027,
SRR5962392,AMPLICON,501,16397046,PRJNA397876,SAMN07527077,Metagenome or environmental,8961533,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120435,USA,North America,USA: Detroit,reagents,Illumina MiSeq,37.36666 N 80.53333 W,Kit3,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,Kit3,SRP116027,
SRR5962393,AMPLICON,501,2140934,PRJNA397876,SAMN07527078,Metagenome or environmental,1487426,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120434,USA,North America,USA: Detroit,reagents,Illumina MiSeq,37.36666 N 80.53333 W,Kit4,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,Kit4,SRP116027,
SRR5962394,AMPLICON,501,40999216,PRJNA397876,SAMN07527071,Metagenome or environmental,23903210,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120433,USA,North America,USA: Detroit,laboratory,Illumina MiSeq,37.36666 N 80.53333 W,4Room2,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,4Room2,SRP116027,
SRR5962395,AMPLICON,501,39423181,PRJNA397876,SAMN07527072,Metagenome or environmental,22007549,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120432,USA,North America,USA: Detroit,laboratory,Illumina MiSeq,37.36666 N 80.53333 W,4Room3,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,4Room3,SRP116027,
SRR5962396,AMPLICON,501,33923695,PRJNA397876,SAMN07527073,Metagenome or environmental,20850327,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120431,USA,North America,USA: Detroit,laboratory,Illumina MiSeq,37.36666 N 80.53333 W,4Room4,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,4Room4,SRP116027,
SRR5962397,AMPLICON,501,37208133,PRJNA397876,SAMN07527074,Metagenome or environmental,21657705,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120430,USA,North America,USA: Detroit,laboratory,Illumina MiSeq,37.36666 N 80.53333 W,4Room5,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,4Room5,SRP116027,
SRR5962398,AMPLICON,501,29570124,PRJNA397876,SAMN07527010,Metagenome or environmental,17278047,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120429,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,11V,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,10V,SRP116027,
SRR5962399,AMPLICON,501,25342200,PRJNA397876,SAMN07527009,Metagenome or environmental,14963533,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120428,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,11AC,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,10AC,SRP116027,
SRR5962400,AMPLICON,501,36831092,PRJNA397876,SAMN07527004,Metagenome or environmental,19170227,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120427,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,8V,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,23V,SRP116027,
SRR5962401,AMPLICON,501,36350825,PRJNA397876,SAMN07527002,Metagenome or environmental,19476208,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120425,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,6V,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,6V,SRP116027,
SRR5962402,AMPLICON,501,54435824,PRJNA397876,SAMN07527001,Metagenome or environmental,30966615,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120424,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,6AC,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,6AC,SRP116027,
SRR5962403,AMPLICON,501,3433820,PRJNA397876,SAMN07527008,Metagenome or environmental,2344366,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120423,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,10V,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,9V,SRP116027,
SRR5962404,AMPLICON,501,45622355,PRJNA397876,SAMN07527003,Metagenome or environmental,25985784,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120426,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,8AC,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,23A,SRP116027,
SRR5962405,AMPLICON,501,44215455,PRJNA397876,SAMN07527007,Metagenome or environmental,25560483,WAYNE STATE UNIVERSITY,01-Jun-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3120422,USA,North America,USA: Detroit,Homo sapiens,Illumina MiSeq,37.36666 N 80.53333 W,10AC,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2019-01-01T00:00:00Z,9AC,SRP116027,
