Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ref_biomaterial,ReleaseDate,Sample Name,SRA Study,Host,isolation_source
SRR7048669,AMPLICON,502,47849636,PRJNA451186,SAMN08963676,Metagenome or environmental,27475172,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3980471,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,VS19_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,VS19,2018-04-20T00:00:00Z,VS19,SRP141397,Homo sapiens,
SRR7048670,AMPLICON,502,64764024,PRJNA451186,SAMN08963671,Metagenome or environmental,38046817,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3980470,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,VS14_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,VS14,2018-04-20T00:00:00Z,VS14,SRP141397,Homo sapiens,
SRR7048671,AMPLICON,502,36520500,PRJNA451186,SAMN08963670,Metagenome or environmental,21484405,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3980469,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,VS13_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,VS13,2018-04-20T00:00:00Z,VS13,SRP141397,Homo sapiens,
SRR7048672,AMPLICON,502,33353382,PRJNA451186,SAMN08963673,Metagenome or environmental,18901335,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX3980468,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,VS16_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,VS16,2018-04-20T00:00:00Z,VS16,SRP141397,Homo sapiens,
SRR7048673,AMPLICON,502,37447694,PRJNA451186,SAMN08963672,Metagenome or environmental,22179543,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX3980467,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,VS15_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,VS15,2018-04-20T00:00:00Z,VS15,SRP141397,Homo sapiens,
SRR7048674,AMPLICON,502,35342306,PRJNA451186,SAMN08963679,Metagenome or environmental,23082837,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3980466,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,VS22_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,VS22,2018-04-20T00:00:00Z,VS22,SRP141397,Homo sapiens,
SRR7048675,AMPLICON,502,65659090,PRJNA451186,SAMN08963678,Metagenome or environmental,39110224,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX3980465,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,VS21_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,VS21,2018-04-20T00:00:00Z,VS21,SRP141397,Homo sapiens,
SRR7048676,AMPLICON,502,697278,PRJNA451186,SAMN08963399,Metagenome or environmental,549605,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX3980464,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,FP34_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,FP34,2018-04-20T00:00:00Z,FP34,SRP141397,Homo sapiens,
SRR7048677,AMPLICON,502,82328,PRJNA451186,SAMN08963398,Metagenome or environmental,133143,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX3980463,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,FP33_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,FP33,2018-04-20T00:00:00Z,FP33,SRP141397,Homo sapiens,
SRR7048678,AMPLICON,502,256020,PRJNA451186,SAMN08963395,Metagenome or environmental,237097,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX3980462,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,FP30_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,FP30,2018-04-20T00:00:00Z,FP30,SRP141397,Homo sapiens,
SRR7048679,AMPLICON,502,818762,PRJNA451186,SAMN08963394,Metagenome or environmental,588073,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3980461,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,FP29_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,FP29,2018-04-20T00:00:00Z,FP29,SRP141397,Homo sapiens,
SRR7048680,AMPLICON,502,234936,PRJNA451186,SAMN08963397,Metagenome or environmental,224110,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX3980460,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,FP32_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,FP32,2018-04-20T00:00:00Z,FP32,SRP141397,Homo sapiens,
SRR7048681,AMPLICON,502,29618,PRJNA451186,SAMN08963396,Metagenome or environmental,99458,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX3980459,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,FP31_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,FP31,2018-04-20T00:00:00Z,FP31,SRP141397,Homo sapiens,
SRR7048682,AMPLICON,502,117970,PRJNA451186,SAMN08963391,Metagenome or environmental,159233,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3980458,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,FP26_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,FP26,2018-04-20T00:00:00Z,FP26,SRP141397,Homo sapiens,
SRR7048683,AMPLICON,502,163150,PRJNA451186,SAMN08963390,Metagenome or environmental,189945,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX3980457,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,FP25_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,FP25,2018-04-20T00:00:00Z,FP25,SRP141397,Homo sapiens,
SRR7048684,AMPLICON,502,43674,PRJNA451186,SAMN08963393,Metagenome or environmental,109419,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX3980456,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,FP28_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,FP28,2018-04-20T00:00:00Z,FP28,SRP141397,Homo sapiens,
SRR7048685,AMPLICON,502,13552996,PRJNA451186,SAMN08963392,Metagenome or environmental,8326755,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX3980455,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,FP27_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,FP27,2018-04-20T00:00:00Z,FP27,SRP141397,Homo sapiens,
SRR7048686,AMPLICON,502,16064,PRJNA451186,SAMN08963451,Metagenome or environmental,89955,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3980454,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,H2O14_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,H2O14,2018-04-20T00:00:00Z,H2O14,SRP141397,,laboratory sample
SRR7048687,AMPLICON,502,486438,PRJNA451186,SAMN08963450,Metagenome or environmental,403172,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX3980453,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,H2O13_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,H2O13,2018-04-20T00:00:00Z,H2O13,SRP141397,,laboratory sample
SRR7048688,AMPLICON,502,494470,PRJNA451186,SAMN08963453,Metagenome or environmental,403963,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3980452,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,H2O16_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,H2O16,2018-04-20T00:00:00Z,H2O16,SRP141397,,laboratory sample
SRR7048689,AMPLICON,502,1271064,PRJNA451186,SAMN08963452,Metagenome or environmental,956029,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3980451,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,H2O15_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,H2O15,2018-04-20T00:00:00Z,H2O15,SRP141397,,laboratory sample
SRR7048690,AMPLICON,502,686234,PRJNA451186,SAMN08963455,Metagenome or environmental,542424,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX3980450,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,H2O18_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,H2O18,2018-04-20T00:00:00Z,H2O18,SRP141397,,laboratory sample
SRR7048691,AMPLICON,502,490454,PRJNA451186,SAMN08963454,Metagenome or environmental,401385,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX3980449,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,H2O17_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,H2O17,2018-04-20T00:00:00Z,H2O17,SRP141397,,laboratory sample
SRR7048692,AMPLICON,502,22590,PRJNA451186,SAMN08963457,Metagenome or environmental,95036,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3980448,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,H2O2_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,H2O2,2018-04-20T00:00:00Z,H2O2,SRP141397,,laboratory sample
SRR7048693,AMPLICON,502,237446,PRJNA451186,SAMN08963456,Metagenome or environmental,234196,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX3980447,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,H2O19_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,H2O19,2018-04-20T00:00:00Z,H2O19,SRP141397,,laboratory sample
SRR7048694,AMPLICON,502,16566,PRJNA451186,SAMN08963459,Metagenome or environmental,90425,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX3980446,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,H2O3_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,H2O3,2018-04-20T00:00:00Z,H2O3,SRP141397,,laboratory sample
SRR7048695,AMPLICON,502,1217350,PRJNA451186,SAMN08963458,Metagenome or environmental,867901,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX3980445,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,H2O20_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,H2O20,2018-04-20T00:00:00Z,H2O20,SRP141397,,laboratory sample
SRR7048696,AMPLICON,502,60143114,PRJNA451186,SAMN08963668,Metagenome or environmental,35155052,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX3980444,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,VS11_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,VS11,2018-04-20T00:00:00Z,VS11,SRP141397,Homo sapiens,
SRR7048697,AMPLICON,502,20448468,PRJNA451186,SAMN08963669,Metagenome or environmental,11762428,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX3980443,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,VS12_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,VS12,2018-04-20T00:00:00Z,VS12,SRP141397,Homo sapiens,
SRR7048698,AMPLICON,502,1384516,PRJNA451186,SAMN08963326,Metagenome or environmental,968721,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3980442,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,AS12_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,AS12,2018-04-20T00:00:00Z,AS12,SRP141397,,air swab in delivery room
SRR7048699,AMPLICON,502,3902548,PRJNA451186,SAMN08963327,Metagenome or environmental,2521291,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3980441,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,AS13_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,AS13,2018-04-20T00:00:00Z,AS13,SRP141397,,air swab in delivery room
SRR7048700,AMPLICON,502,533124,PRJNA451186,SAMN08963324,Metagenome or environmental,417721,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX3980440,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,AS10_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,AS10,2018-04-20T00:00:00Z,AS10,SRP141397,,air swab in delivery room
SRR7048701,AMPLICON,502,1966836,PRJNA451186,SAMN08963325,Metagenome or environmental,1361115,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3980439,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,AS11_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,AS11,2018-04-20T00:00:00Z,AS11,SRP141397,,air swab in delivery room
SRR7048702,AMPLICON,502,2517028,PRJNA451186,SAMN08963322,Metagenome or environmental,1676548,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3980438,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,AS08_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,AS08,2018-04-20T00:00:00Z,AS08,SRP141397,,air swab in delivery room
SRR7048703,AMPLICON,502,2620440,PRJNA451186,SAMN08963323,Metagenome or environmental,1703797,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3980437,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,AS09_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,AS09,2018-04-20T00:00:00Z,AS09,SRP141397,,air swab in delivery room
SRR7048704,AMPLICON,502,1669652,PRJNA451186,SAMN08963320,Metagenome or environmental,1136555,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX3980436,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,AS06_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,AS06,2018-04-20T00:00:00Z,AS06,SRP141397,,air swab in delivery room
SRR7048705,AMPLICON,502,2086814,PRJNA451186,SAMN08963321,Metagenome or environmental,1458775,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX3980435,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,AS07_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,AS07,2018-04-20T00:00:00Z,AS07,SRP141397,,air swab in delivery room
SRR7048706,AMPLICON,502,597380,PRJNA451186,SAMN08963328,Metagenome or environmental,464083,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX3980434,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,AS14_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,AS14,2018-04-20T00:00:00Z,AS14,SRP141397,,air swab in delivery room
SRR7048707,AMPLICON,502,802698,PRJNA451186,SAMN08963329,Metagenome or environmental,601398,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX3980433,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,AS15_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,AS15,2018-04-20T00:00:00Z,AS15,SRP141397,,air swab in delivery room
SRR7048708,WGS,232,315228264,PRJNA451186,SAMN08963627,Metagenome or environmental,132095637,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX3980432,USA,North America,USA:Philadelphia,Illumina HiSeq 2500,39.95 N 75.16 W,S53_shotgun,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,S53,2018-04-20T00:00:00Z,S53,SRP141397,Homo sapiens,
SRR7048709,WGS,231,284279563,PRJNA451186,SAMN08963626,Metagenome or environmental,118963511,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3980431,USA,North America,USA:Philadelphia,Illumina HiSeq 2500,39.95 N 75.16 W,S52_shotgun,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,S52,2018-04-20T00:00:00Z,S52,SRP141397,Homo sapiens,
SRR7048710,WGS,217,340047985,PRJNA451186,SAMN08963625,Metagenome or environmental,137768176,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX3980430,USA,North America,USA:Philadelphia,Illumina HiSeq 2500,39.95 N 75.16 W,S51_shotgun,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,S51,2018-04-20T00:00:00Z,S51,SRP141397,Homo sapiens,
SRR7048711,WGS,218,116510654,PRJNA451186,SAMN08963624,Metagenome or environmental,47991560,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX3980429,USA,North America,USA:Philadelphia,Illumina HiSeq 2500,39.95 N 75.16 W,S50_shotgun,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,S50,2018-04-20T00:00:00Z,S50,SRP141397,Homo sapiens,
SRR7048712,WGS,221,273549163,PRJNA451186,SAMN08963623,Metagenome or environmental,112975667,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3980428,USA,North America,USA:Philadelphia,Illumina HiSeq 2500,39.95 N 75.16 W,S49_shotgun,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,S49,2018-04-20T00:00:00Z,S49,SRP141397,Homo sapiens,
SRR7048713,WGS,221,149140677,PRJNA451186,SAMN08963622,Metagenome or environmental,61467886,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX3980427,USA,North America,USA:Philadelphia,Illumina HiSeq 2500,39.95 N 75.16 W,S48_shotgun,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,S48,2018-04-20T00:00:00Z,S48,SRP141397,Homo sapiens,
SRR7048714,AMPLICON,502,25022692,PRJNA451186,SAMN08963660,Metagenome or environmental,14660904,UNIVERSITY OF PENNSYLVANIA,2017-10-25,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX3980426,USA,North America,USA:Philadelphia,Illumina MiSeq,39.95 N 75.16 W,VS03_16S,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,VS03,2018-04-20T00:00:00Z,VS03,SRP141397,Homo sapiens,
